"기준_년분기_코드","자치구_코드","자치구_코드_명","서비스_업종_코드","서비스_업종_코드_명","당월_매출_금액","당월_매출_건수","주중_매출_금액","주말_매출_금액","월요일_매출_금액","화요일_매출_금액","수요일_매출_금액","목요일_매출_금액","금요일_매출_금액","토요일_매출_금액","일요일_매출_금액","시간대_00~06_매출_금액","시간대_06~11_매출_금액","시간대_11~14_매출_금액","시간대_14~17_매출_금액","시간대_17~21_매출_금액","시간대_21~24_매출_금액","남성_매출_금액","여성_매출_금액","연령대_10_매출_금액","연령대_20_매출_금액","연령대_30_매출_금액","연령대_40_매출_금액","연령대_50_매출_금액","연령대_60_이상_매출_금액","주중_매출_건수","주말_매출_건수","월요일_매출_건수","화요일_매출_건수","수요일_매출_건수","목요일_매출_건수","금요일_매출_건수","토요일_매출_건수","일요일_매출_건수","시간대_건수~06_매출_건수","시간대_건수~11_매출_건수","시간대_건수~14_매출_건수","시간대_건수~17_매출_건수","시간대_건수~21_매출_건수","시간대_건수~24_매출_건수","남성_매출_건수","여성_매출_건수","연령대_10_매출_건수","연령대_20_매출_건수","연령대_30_매출_건수","연령대_40_매출_건수","연령대_50_매출_건수","연령대_60_이상_매출_건수"
"20191","11380","은평구","CS300020","서적","3631147952","162205","2532639219","1098508733","486657200","473437337","510719692","660755948","401069042","638867607","459641126","0","95351393","698756445","1185271760","1423684170","228084184","1597763696","2022659831","236238543","490820358","506868771","1451752733","811994363","122748758","113930","48275","22517","22487","23962","23087","21877","25304","22971","0","4852","29559","46841","69066","11887","61926","100068","16605","36572","16849","56224","28581","7162"
"20191","11380","은평구","CS200034","여관","2702862057","59241","1475822997","1227039060","233939531","289660734","316032687","287991100","348198945","712393023","514646037","822345146","133465961","115349177","262652747","699139140","669909886","2055162803","625677026","39518247","937323295","749878456","479440866","353015135","121663831","33483","25758","5243","6829","7302","6791","7318","13610","12148","14830","2549","3616","7787","18030","12429","45073","13898","1023","22472","15464","9746","7283","2986"
"20191","11380","은평구","CS200016","당구장","547484048","35799","350579176","196904872","53316658","66248420","73766616","73911174","83336308","106257823","90647049","89442043","9424957","14032404","57918202","182702804","193963638","477089926","66802902","19102195","65286426","68498536","165069052","149529129","76455543","22696","13103","3813","4246","4489","4360","5788","7320","5783","5701","346","470","4066","12333","12883","32430","3115","2505","5672","3990","8794","8868","5727"
"20191","11380","은평구","CS300033","철물점","848755256","32410","706546808","142208448","157611755","124836508","151189610","159119051","113789884","112702683","29505765","0","170992331","226280772","278983671","145216020","27282462","439789551","305954418","314806","52192123","107896545","211395377","210404141","163540987","25636","6774","4544","4418","5857","5099","5718","5111","1663","0","6293","8716","9412","7596","393","18034","8720","49","3531","4662","5400","7003","6114"
"20191","11380","은평구","CS300027","섬유제품","706752731","4649","480116771","226635960","100949548","72090371","129636594","89887482","87552776","144296371","82339589","0","21525134","166133129","297128987","202180054","19785427","203701128","482250801","0","22389178","175619737","143698285","184445212","159799517","3273","1376","690","507","707","685","684","800","576","0","103","958","2001","1492","95","1504","3098","0","198","783","823","1222","1575"
"20191","11380","은평구","CS300032","가전제품","1764759991","14502","1293390537","471369454","271933300","64056080","383018519","232975451","341407187","211908562","259460892","0","17652593","846893575","606038659","294175164","0","664650324","819025852","202655","68350428","236184852","361361025","473210515","344366700","12675","1827","4571","754","4325","1136","1889","1045","782","0","324","8620","3528","2030","0","7502","6469","25","350","2011","4544","4850","2192"
"20191","11380","은평구","CS300004","핸드폰","5149147","1176","5149147","0","1067402","873011","1860522","0","1348212","0","0","0","0","1011159","2925708","1212280","0","2420129","2729018","0","1212280","1011159","2052697","873011","0","1176","0","213","382","412","0","169","0","0","0","0","169","764","243","0","595","581","0","242","169","383","382","0"
"20191","11410","서대문구","CS200030","피부관리실","410934400","3639","320405383","90529017","27731405","70637003","66723209","69757595","85556171","80014548","10514469","320428","11419568","56849156","181829062","131459952","29056234","102169988","308764412","871085","73282332","86527772","124695800","93136287","32421125","2799","840","456","581","572","549","641","685","155","6","128","736","1224","1383","162","756","2883","26","1133","824","564","684","407"
"20191","11410","서대문구","CS200007","치과의원","11029973605","85930","9671429071","1358544534","1873384977","2042658338","1754719790","2177224454","1823441512","1353852340","4692194","0","1511003299","3524409831","3361574179","2614850112","18136184","5086246262","5914730943","13997113","947343671","1552302385","2762128851","2858846247","2866358935","73676","12254","15447","14632","14232","15163","14202","12167","87","0","13599","27260","27897","17095","79","40098","45716","144","11103","13709","22175","19759","18921"
"20191","11410","서대문구","CS200005","스포츠 강습","1194208148","5949","1161090498","33117650","413986230","174422821","206160039","143457791","223063617","32042303","1075347","0","20546223","115111551","296766234","622853611","138930529","572861044","615438865","0","186997869","225420870","550501020","181767052","43613099","5762","187","1510","1039","1039","893","1281","169","18","0","101","690","1523","3091","544","2746","3190","0","704","1264","2927","913","130"
