행정동_코드,행정동_코드_명,총_점포_수_합계,2024년_총_유동인구_합계,2024년_총_상주인구_합계,영역_면적,월_평균_소득_금액,지출_총금액,식료품_지출_총금액,음식_지출_총금액,집객_지수
11110515,청운효자동,1527,14325051,45312,2568432,15120888,8010149000,2580721000,3224790000,0.1504296704152784
11110530,사직동,3927,15579831,35968,1158536,20031072,143711367000,4676932000,18795884000,0.3495749094305057
11110540,삼청동,1116,3858574,8988,1479255,13770136,9840044000,1816858000,5044638000,0.069478438879757
11110550,부암동,589,3883220,36136,2274739,14589796,4431137000,740691000,2153108000,0.1419128283036618
11110560,평창동,583,3351274,69464,8947328,18016024,7584302000,2092864000,2583152000,0.3008708450207026
11110570,무악동,158,7214794,31852,369520,20546868,8432464000,766674000,457552000,0.0521198423443381
11110580,교남동,325,15986125,38860,346926,18467560,6814010000,1058524000,1247426000,0.1258314678382413
11110600,가회동,1071,5037928,15396,539955,13919064,8662734000,1715541000,4925208000,0.0957999290630691
11110615,종로1·2·3·4가동,9634,55894284,26632,2417171,12981004,293878109000,13132109000,55942470000,0.8751236880926594
11110630,종로5·6가동,2139,23249901,21504,603167,10125800,27152584000,2088149000,8334060000,0.3539983697003557
11110640,이화동,1236,17634921,27564,782395,12099984,22240954000,2857373000,7927836000,0.2014733716128847
11110650,혜화동,2455,36084405,63332,1132421,13332448,28982067000,5001190000,12855235000,0.2491279071529942
11110670,창신1동,966,11035355,18092,305337,9573232,7568901000,1314115000,2071062000,0.1725204034030489
11110680,창신2동,600,19733996,30044,257323,8451268,3204641000,1010923000,1400332000,0.0416402748042665
11110690,창신3동,130,4573510,25352,216835,12024208,1095652000,650299000,191149000,0.0200433564236256
11110700,숭인1동,182,8355393,23072,239396,11474076,2408914000,1215192000,415955000,0.0573922722485757
11110710,숭인2동,797,22087513,37996,351906,10429244,5744042000,1528149000,2112133000,0.1315324305586376
11140520,소공동,2883,11058777,8712,943795,21522084,5252823686000,4047339000,12570689000,0.393075453224487
11140540,회현동,2926,17909364,17520,897827,17769804,1388478220000,70006280000,8601013000,0.3577269951227314
11140550,명동,5107,22633541,9568,969729,14934400,305561719000,7320748000,25339755000,0.9217051246336916
11140570,필동,1803,9989041,16048,1464686,12132176,16047206000,2741834000,8306841000,0.1983516511017221
11140580,장충동,680,8506166,18196,1017925,11580104,6947401000,1197628000,3876512000,0.0912717084845341
11140590,광희동,2953,26316554,22704,737204,12918416,31370734000,3894849000,6825963000,0.3044131693630895
